API,INTL.2-12-PRI-BKWH.A
nan,        Puerto Rico
1980.0,13.301
1981.0,13.058
1982.0,11.114
1983.0,11.326
1984.0,11.783
1985.0,11.586
1986.0,12.109
1987.0,12.944
1988.0,13.552
1989.0,13.465
1990.0,14.246323
1991.0,14.860574
1992.0,15.445842
1993.0,16.17872
1994.0,16.834438
1995.0,17.407132
1996.0,17.878994
1997.0,18.743119
1998.0,19.212371
1999.0,20.103944
2000.0,21.813
2001.0,22.302
2002.0,23.175
2003.0,23.937
2004.0,24.135
2005.0,24.9622843
2006.0,23.837
2007.0,22.305
2008.0,20.921
2009.0,20.7098
2010.0,20.8958
2011.0,20.0178
2012.0,21.203
2013.0,20.497
2014.0,20.416
2015.0,20.415061
2016.0,20.961866
2017.0,16.691
2018.0,16.988629
2019.0,17.267
2020.0,17.149
2021.0,18.247657356
